n, m, k, value, time, valid, solution
100, 10, 5, 37312.3000, 1800.0885, 1, 0 0 0 1 0 2 3 1 1 3 4 1 0 4 2 3 3 4 2 3 1 1 3 0 2 3 0 1 4 1 4 0 4 0 2 2 0 3 4 0 4 2 0 3 3 4 3 1 2 4 4 3 1 1 0 4 3 0 1 4 1 2 0 1 4 0 2 0 1 1 1 1 3 2 1 2 4 2 1 3 4 2 4 3 2 3 2 4 3 2 3 3 2 2 2 1 0 4 0 3 
100, 20, 5, 90703.1220, 1800.6650, 1, 0 0 1 2 0 0 1 2 1 0 1 2 3 1 2 3 2 1 1 1 0 4 0 1 3 3 2 4 2 3 0 3 0 3 2 0 1 0 2 2 1 1 3 3 4 0 4 3 4 4 4 3 3 3 1 2 4 0 3 3 4 4 4 4 0 4 3 2 2 2 2 1 1 2 4 4 0 3 4 3 0 3 0 1 0 1 2 3 2 1 0 1 4 3 2 2 4 1 4 0 
50, 2, 10, 4995.2180, 1800.5319, 1, 0 1 2 1 3 4 5 6 7 6 0 8 1 2 6 9 2 0 4 5 0 8 5 7 9 7 8 2 7 2 8 1 1 6 4 6 4 5 7 9 8 2 3 6 3 3 9 3 9 4 
50, 5, 10, 38211.2940, 1800.0628, 1, 0 1 2 3 4 5 6 7 7 8 3 7 9 4 8 4 2 0 2 7 5 3 0 6 3 5 2 6 2 1 9 1 1 0 1 6 4 8 9 5 8 4 9 0 8 7 9 3 5 9 
50, 10, 10, 74760.3460, 1800.3450, 1, 0 1 2 1 3 3 2 2 2 3 4 5 1 1 4 6 1 6 7 7 0 5 4 2 8 3 8 9 8 6 9 5 4 7 9 0 0 0 8 3 7 8 9 5 4 5 7 6 9 6 
50, 20, 10, 123379.8680, 1800.0115, 1, 0 1 2 0 2 3 3 4 5 6 0 7 2 6 3 5 8 0 7 4 6 0 3 7 9 1 2 3 5 1 8 6 5 7 8 9 9 9 1 8 6 9 1 8 4 5 4 2 7 4 
100, 2, 10, 1123.9330, 1800.6179, 1, 0 1 0 2 3 4 2 5 5 5 3 5 6 7 8 5 2 3 0 8 2 4 1 3 1 4 9 2 6 0 7 8 7 6 1 7 0 5 0 6 7 3 6 8 3 3 9 1 6 6 7 9 5 2 9 0 8 6 0 6 4 4 2 7 6 7 5 1 9 0 9 1 9 1 0 2 9 5 4 8 8 8 6 8 3 9 6 3 2 8 4 7 8 1 7 2 5 0 4 4 
100, 5, 10, 25192.4700, 1800.7214, 1, 0 1 2 0 1 3 1 1 4 2 4 5 2 0 6 3 2 6 5 4 7 4 2 6 0 5 8 3 2 1 6 1 9 4 1 6 9 4 5 6 5 9 0 8 8 8 5 7 3 6 7 9 2 3 4 9 1 9 3 5 0 4 3 2 8 1 7 2 8 5 7 5 7 7 4 3 8 0 0 3 6 9 7 9 2 4 9 5 7 9 6 0 2 8 7 6 3 0 8 3 
50, 2, 20, 19445.1890, 1800.0184, 1, 0 1 2 0 3 4 5 0 6 7 8 9 6 10 11 12 1 8 13 14 15 16 15 17 13 18 3 17 16 12 16 19 19 13 4 14 11 7 12 5 6 9 0 19 2 10 9 18 2 7 
50, 5, 20, 62084.2880, 1800.6486, 1, 0 1 2 3 4 2 5 5 1 1 6 7 8 9 10 0 3 11 6 12 9 2 4 13 14 15 16 10 16 12 7 9 17 14 18 13 18 0 14 17 6 4 8 8 7 19 15 11 19 17 
50, 10, 20, 102788.4380, 1800.9386, 1, 0 1 2 3 4 0 5 6 2 7 5 8 9 10 3 9 2 11 12 13 12 1 14 15 13 15 14 16 12 13 6 8 17 1 6 11 10 9 7 18 0 14 16 19 4 18 8 17 19 7 
50, 20, 20, 136105.1310, 1800.0722, 1, 0 0 1 2 3 4 4 5 6 7 8 9 1 10 3 11 2 7 12 2 12 13 14 15 5 4 14 13 16 5 10 10 17 6 18 16 18 1 14 11 19 18 15 17 8 13 0 19 9 6 
100, 2, 20, 5719.4350, 1800.1795, 1, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 8 11 14 0 15 3 16 17 10 1 18 19 19 17 5 7 4 14 3 11 13 17 4 6 13 19 9 1 11 13 15 17 18 9 6 10 15 3 7 7 2 12 4 14 15 14 14 16 0 19 8 5 14 15 19 7 2 4 9 5 0 1 2 5 18 17 8 6 15 9 15 0 16 18 10 19 13 9 6 11 1 8 10 12 12 7 
100, 5, 20, 34901.8090, 1800.9652, 1, 0 1 2 3 4 5 6 6 4 1 7 8 9 3 10 9 11 5 12 13 12 12 14 7 15 16 17 11 2 15 11 1 18 17 1 9 17 19 5 16 0 8 5 18 14 0 3 18 19 5 14 6 15 14 8 7 13 11 9 12 3 0 11 9 19 6 14 13 2 10 8 18 17 2 7 19 17 16 10 5 3 15 4 11 12 12 4 16 10 13 15 16 9 2 4 8 19 13 18 1 
